Producto,Fecha,Cantidad,Precio,Ventas
,Fanzine Flama,18/01/2026,1,7500,7500
,Sticker Flama,18/01/2026,1,1500,1500
,Taza Flama,18/01/2026,1,12000,12000
,Fanzine Sanidad,18/01/2026,2,7500,15000
,Sticker Sanidad,18/01/2026,3,1500,4500
,Taza Sanidad,18/01/2026,2,12000,24000
,Taza Sanidad,18/01/2026,1,12000,12000
,Fanzine Sanidad,18/01/2026,1,7500,7500
,Sticker Flama,18/01/2026,3,1500,4500
,Taza Flama,22/02/2026,1,7500,7500
,Sticker Flama,22/02/2026,2,1500,3000
,Sticker Sanidad,22/02/2026,2,1500,3000
,Taza Sanidad,22/02/2026,2,12000,24000
,Fanzine Flama,22/02/2026,3,7500,22500
,Sticker Flama,22/02/2026,2,1500,3000
,Fanzine Flama,22/02/2026,1,7500,7500
,Sticker Sanidad,22/03/2026,2,1500,3000
,Fanzine Sanidad,22/03/2026,1,7500,7500
,Taza Sanidad,22/03/2026,1,12000,12000
,Taza Flama,22/03/2026,1,12000,12000
,Fanzine Sanidad,22/03/2026,2,7500,15000
,Sticker Sanidad,22/03/2026,3,1500,4500
,Fanzine Flama,22/03/2026,2,7500,15000
,Fanzine Sanidad,19/04/2026,1,7500,7500
,Sticker Flama,19/04/2026,3,1500,4500
,Fanzine Sanidad,19/04/2026,1,7500,7500
,Fanzine Sanidad,19/04/2026,1,7500,7500
,Taza Flama,19/04/2026,1,12000,12000
,Taza Sanidad,19/04/2026,1,12000,12000
,Sticker Flama,19/04/2026,2,1500,3000
,Sticker Sanidad,19/04/2026,2,1500,3000
,Fanzine Sanidad,20/05/2026,1,7500,7500
,Fanzine Sanidad,20/05/2026,1,7500,7500
,Sticker Flama,20/05/2026,3,1500,4500
,Sticker Sanidad,20/05/2026,3,1500,4500
,Fanzine Flama,20/05/2026,2,7500,15000
,Taza Sanidad,20/05/2026,2,12000,24000
,Taza Sanidad,20/05/2026,1,12000,12000
,Fanzine Sanidad,20/05/2026,1,7500,7500
